seed,K,M,mv,isp,gap
1044,2,10000,0.8436,0.9012,0.057599999999999985
1045,2,10000,0.8548,0.9082,0.0534
1046,2,10000,0.851,0.904,0.05300000000000005
1047,2,10000,0.8478,0.8991,0.05130000000000001
1048,2,10000,0.8499,0.8985,0.04859999999999998
1049,2,10000,0.8591,0.9037,0.04459999999999997
1050,2,10000,0.8535,0.9033,0.049799999999999955
1051,2,10000,0.8447,0.8997,0.05500000000000005
1052,2,10000,0.8446,0.8993,0.05469999999999997
1053,2,10000,0.8555,0.9019,0.0464
1054,2,10000,0.8485,0.9034,0.05489999999999995
1055,2,10000,0.8504,0.9014,0.050999999999999934
1056,2,10000,0.8504,0.904,0.05359999999999998
1057,2,10000,0.858,0.9058,0.047800000000000065
1058,2,10000,0.8513,0.9001,0.048800000000000066
1059,2,10000,0.8449,0.904,0.05910000000000004
1060,2,10000,0.8478,0.9015,0.05369999999999997
1061,2,10000,0.8501,0.9008,0.05070000000000008
1062,2,10000,0.8547,0.9072,0.05249999999999999
1063,2,10000,0.8476,0.9015,0.05389999999999995
1064,2,10000,0.8532,0.9031,0.049900000000000055
1065,2,10000,0.8519,0.9033,0.0514
1066,2,10000,0.854,0.903,0.049000000000000044
1067,2,10000,0.8576,0.908,0.0504
1068,2,10000,0.8487,0.9,0.05130000000000001
1069,2,10000,0.8486,0.8962,0.047599999999999976
1070,2,10000,0.8479,0.9014,0.05349999999999999
1071,2,10000,0.848,0.8993,0.05130000000000001
1072,2,10000,0.8491,0.9026,0.05349999999999999
1073,2,10000,0.8476,0.8971,0.04949999999999999
1074,2,10000,0.8547,0.9026,0.04789999999999994
1075,2,10000,0.8454,0.9,0.05459999999999998
1076,2,10000,0.85,0.898,0.04800000000000004
1077,2,10000,0.8509,0.899,0.04810000000000003
1078,2,10000,0.8531,0.9052,0.052100000000000035
1079,2,10000,0.8526,0.9051,0.05249999999999999
1080,2,10000,0.8455,0.8964,0.050899999999999945
1081,2,10000,0.8477,0.9008,0.053100000000000036
1082,2,10000,0.8552,0.9036,0.0484
1083,2,10000,0.8429,0.8968,0.05390000000000006
1084,2,10000,0.851,0.9009,0.049900000000000055
1085,2,10000,0.8507,0.8989,0.04820000000000002
1086,2,10000,0.8502,0.9049,0.05470000000000008
1087,2,10000,0.8554,0.9047,0.0492999999999999
1088,2,10000,0.8473,0.8984,0.05109999999999992
1000,4,10000,0.9293,0.9516,0.022299999999999986
1001,4,10000,0.9269,0.9484,0.021500000000000075
1002,4,10000,0.9226,0.9448,0.022199999999999998
1003,4,10000,0.9218,0.9426,0.02080000000000004
1004,4,10000,0.9213,0.9424,0.021100000000000008
1005,4,10000,0.9202,0.9429,0.022699999999999942
1006,4,10000,0.9263,0.9455,0.019199999999999995
1007,4,10000,0.9255,0.9432,0.01770000000000005
1008,4,10000,0.9247,0.944,0.019299999999999984
1009,4,10000,0.9209,0.9444,0.023499999999999965
1010,4,10000,0.9271,0.9473,0.020199999999999996
